Fecha;Gasolina;TV gasolina;ACPM;TV ACPM
ago-18;9142,236317;0,00%;8771,341797;1,19%
sep-18;9177,319191;0,38%;8855,913549;0,96%
oct-18;9298,679983;1,32%;8882,461851;0,30%
nov-18;9395,992374;1,05%;8861,71433;-0,23%
dic-18;9395,992374;0,00%;8955,743851;1,06%
ene-19;9335,146861;-0,65%;9048,063789;1,03%
feb-19;9372,792068;0,40%;9063,116094;0,17%
mar-19;9418,192494;0,48%;9078,318921;0,17%
abr-19;9425,735829;0,08%;9093,673777;0,17%
may-19;9418,192494;-0,08%;9234,098848;1,54%
jun-19;9418,192494;0,00%;9249,262337;0,16%
jul-19;9613,170508;2,07%;9344,83246;1,03%
ago-19;9611,711542;-0,02%;9326,894118;-0,19%
sep-19;9611,759348;0,00%;9338,532226;0,12%
oct-19;9611,374043;0,00%;9354,831715;0,17%
nov-19;9575,952324;-0,37%;9360,831715;0,06%
dic-19;9575,629175;0,00%;9365,831715;0,05%
